,id,carga,latitud,longitud,LLUVIA,mes,cluster,carga_cluster,hora_ok_08:30,hora_ok_08:45,hora_ok_09:00,hora_ok_09:15,hora_ok_09:30,DIA_OK_jueves,DIA_OK_lunes,DIA_OK_martes,DIA_OK_miercoles,DIA_OK_viernes,Semana_mes_1,Semana_mes_2,Semana_mes_3,Semana_mes_4,Semana_mes_5,tipo_via_carga_alta,tipo_via_carga_baja,tipo_via_carga_media,tipo_via_carga_muy_alta,carga_final
1957,3663,37.0,40.4628148276909,-3.69712496316258,0.0,3.0,57.0,28.73142304696941,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,34.0
1958,4937,69.0,40.378004961467795,-3.7486820124085702,0.0,3.0,14.0,30.136393478498743,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,51.0
1959,6800,70.0,40.453969288912795,-3.74466512305463,0.0,3.0,54.0,56.14011688895549,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,74.0
1960,10100,33.0,40.4312448391698,-3.67961782933052,0.0,3.0,66.0,38.04091591591592,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26.0
1961,3647,33.0,40.4258279132794,-3.63236044806783,0.0,3.0,79.0,37.20644547508622,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,35.0
1962,5540,39.0,40.4665100146188,-3.67498341209885,0.0,3.0,203.0,29.930166374781084,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26.0
1963,6666,76.0,40.4217375641324,-3.65921482976453,0.0,3.0,122.0,51.88225229429149,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,76.0
1964,5043,40.0,40.389691155459204,-3.7299228907592004,0.0,3.0,2.0,33.57878981400176,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,40.0
1965,7120,0.0,40.3930508826529,-3.70695997139916,0.0,3.0,23.0,17.55182886570712,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
1966,3885,40.0,40.411062182794204,-3.6699287218215297,0.0,3.0,138.0,47.77222742161909,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,39.0
1967,5009,49.0,40.409341665538996,-3.7399895762152098,0.0,3.0,133.0,23.74436090225564,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,43.0
1968,4618,38.0,40.4694792452679,-3.68678634479909,0.0,3.0,293.0,31.640856393331642,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,46.0
1969,5672,34.0,40.459492264606396,-3.69679961597485,0.0,3.0,57.0,28.73142304696941,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,27.0
1970,6498,75.0,40.4154799034375,-3.6269500925135603,0.0,3.0,262.0,40.49484312235371,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,58.0
1971,5082,85.0,40.4249511794721,-3.6787897825682996,0.0,3.0,96.0,36.7194519675004,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,77.0
1972,6878,0.0,40.3912015581936,-3.67889446285072,0.0,3.0,15.0,35.57178941291091,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
1973,5357,74.0,40.369419802814,-3.6090248843915402,0.0,3.0,20.0,33.64016381866968,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,55.0
1974,6141,33.0,40.4302890723298,-3.6407297125407005,0.0,3.0,201.0,38.25973197192087,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,27.0
1975,5889,18.0,40.4834176557114,-3.7059719061822998,0.0,3.0,93.0,26.026344188408558,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14.0
1976,6358,47.0,40.4370139505219,-3.64872430579925,0.0,3.0,179.0,45.75431472081218,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,48.0
1977,3921,49.0,40.4530078353819,-3.6638897923632596,0.0,3.0,64.0,57.00821762538963,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,47.0
1978,9846,35.0,40.472331896850704,-3.6569299638314403,0.0,3.0,114.0,33.82849604221636,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,40.0
1979,6249,37.0,40.4575676523028,-3.6547676225510903,0.0,3.0,34.0,49.399887969129274,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,47.0
1980,6430,53.0,40.4026579110058,-3.63495187717583,0.0,3.0,227.0,44.03060436377679,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,51.0
1981,10104,24.0,40.460734362009504,-3.78300409916877,0.0,3.0,6.0,29.936754341517343,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,20.0
1982,6359,37.0,40.43455889385471,-3.65445764967471,0.0,3.0,151.0,46.76782613901694,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26.0
1983,3958,69.0,40.438323972035896,-3.6791009969140696,0.0,3.0,253.0,45.16283428571428,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,57.0
1984,4070,49.0,40.4216671172725,-3.6743692597774102,0.0,3.0,26.0,40.63147650745455,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,45.0
1985,5821,37.0,40.391764870386794,-3.65651481067163,0.0,3.0,298.0,37.48741483191621,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,37.0
1986,4831,7.0,40.3643416926251,-3.6933555655131602,0.0,3.0,157.0,21.574921885613367,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,9.0
1987,3697,42.0,40.420580192772704,-3.6861175175189196,0.0,3.0,283.0,46.49264919237837,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,35.0
1988,3957,48.0,40.4417581487981,-3.68212959782077,0.0,3.0,135.0,48.76216278093639,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,44.0
